ArticleId,SiteId,ZoneId,Date,Quantity,Price,CostPrice,ZoneName,SiteName,ArticleName
169281,4,1,2018-07-05,1,21.9,15.31,Hypermarket,Londýnská,MAGGI ASIA 118G INDIE SMAŽ.NUD
167108,5,1,2018-07-05,3,26.9,18.58,Hypermarket,Belgická,GRANINI NEKT.1l HRUŠKA 50%
170936,8,2,2018-07-05,17,39.0,30.06,Supermarket,Plzeňská,ŠPENÁTOVÝ PROTLAK 400G
170295,4,1,2018-07-05,12,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
199219,6,1,2018-07-05,8,89.0,78.02,Hypermarket,Vídeňská,"NORDIC ICE VODKA37,5%0,5L"
165811,5,1,2018-07-05,4,21.9,15.75,Hypermarket,Belgická,JČ SMETANA KE ŠL.33% 250ML
170936,6,1,2018-07-05,6,39.0,30.06,Hypermarket,Vídeňská,ŠPENÁTOVÝ PROTLAK 400G
200838,5,1,2018-07-05,4,95.0,85.53,Hypermarket,Belgická,"PRAŽSKÁ VODKA 37,5%0,5L"
165811,8,2,2018-07-05,1,21.9,15.75,Supermarket,Plzeňská,JČ SMETANA KE ŠL.33% 250ML
176139,7,2,2018-07-05,6,197.0,142.0,Supermarket,Pražská,"HRANOLKY B"" 1KG"""
171979,6,1,2018-07-05,1,42.6,28.95,Hypermarket,Vídeňská,POMAZÁNKA 120G VAJÍČKOVÁ
174022,8,2,2018-07-05,2,239.0,191.9,Supermarket,Plzeňská,"JÄGERMEISTER 35%  0,7L"
170936,7,2,2018-07-05,3,39.0,30.06,Supermarket,Pražská,ŠPENÁTOVÝ PROTLAK 400G
172551,4,1,2018-07-05,16,90.5,81.84,Hypermarket,Londýnská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
199219,8,2,2018-07-05,10,89.0,78.77,Supermarket,Plzeňská,"NORDIC ICE VODKA37,5%0,5L"
176139,8,2,2018-07-05,15,197.0,142.0,Supermarket,Plzeňská,"HRANOLKY B"" 1KG"""
165811,7,2,2018-07-05,1,21.9,15.75,Supermarket,Pražská,JČ SMETANA KE ŠL.33% 250ML
165811,4,1,2018-07-05,5,21.9,15.75,Hypermarket,Londýnská,JČ SMETANA KE ŠL.33% 250ML
172551,5,1,2018-07-05,21,90.5,81.84,Hypermarket,Belgická,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
172551,6,1,2018-07-05,15,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
165811,6,1,2018-07-05,12,21.9,15.75,Hypermarket,Vídeňská,JČ SMETANA KE ŠL.33% 250ML
199219,4,1,2018-07-05,20,89.0,78.02,Hypermarket,Londýnská,"NORDIC ICE VODKA37,5%0,5L"
172551,8,2,2018-07-05,10,90.5,82.29,Supermarket,Plzeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
200838,8,2,2018-07-05,3,95.0,81.7,Supermarket,Plzeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
174022,5,1,2018-07-05,2,239.0,190.0,Hypermarket,Belgická,"JÄGERMEISTER 35%  0,7L"
167108,4,1,2018-07-05,3,26.9,18.58,Hypermarket,Londýnská,GRANINI NEKT.1l HRUŠKA 50%
172551,7,2,2018-07-05,31,90.5,82.29,Supermarket,Pražská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
199219,5,1,2018-07-05,6,89.0,78.02,Hypermarket,Belgická,"NORDIC ICE VODKA37,5%0,5L"
200838,6,1,2018-07-05,9,95.0,85.53,Hypermarket,Vídeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
170069,4,1,2018-07-05,1,59.9,42.34,Hypermarket,Londýnská,JACOBS PORCE CAF.LATTÉ 250G
174022,6,1,2018-07-05,7,239.0,190.0,Hypermarket,Vídeňská,"JÄGERMEISTER 35%  0,7L"
174022,4,1,2018-07-05,9,239.0,190.0,Hypermarket,Londýnská,"JÄGERMEISTER 35%  0,7L"
170295,6,1,2018-07-06,7,24.5,15.78,Hypermarket,Vídeňská,BERLINKI 250G
176139,7,2,2018-07-06,10,197.0,142.0,Supermarket,Pražská,"HRANOLKY B"" 1KG"""
170069,5,1,2018-07-06,1,59.9,42.34,Hypermarket,Belgická,JACOBS PORCE CAF.LATTÉ 250G
171979,7,2,2018-07-06,1,42.6,28.11,Supermarket,Pražská,POMAZÁNKA 120G VAJÍČKOVÁ
170295,4,1,2018-07-06,11,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
199219,8,2,2018-07-06,51,89.0,78.77,Supermarket,Plzeňská,"NORDIC ICE VODKA37,5%0,5L"
174022,8,2,2018-07-06,10,239.0,191.9,Supermarket,Plzeňská,"JÄGERMEISTER 35%  0,7L"
174022,7,2,2018-07-06,14,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
165811,5,1,2018-07-06,20,21.9,15.75,Hypermarket,Belgická,JČ SMETANA KE ŠL.33% 250ML
199219,6,1,2018-07-06,9,89.0,78.02,Hypermarket,Vídeňská,"NORDIC ICE VODKA37,5%0,5L"
165811,6,1,2018-07-06,3,21.9,15.75,Hypermarket,Vídeňská,JČ SMETANA KE ŠL.33% 250ML
170936,8,2,2018-07-06,10,39.0,30.06,Supermarket,Plzeňská,ŠPENÁTOVÝ PROTLAK 400G
165811,7,2,2018-07-06,1,21.9,15.75,Supermarket,Pražská,JČ SMETANA KE ŠL.33% 250ML
170069,8,2,2018-07-06,1,59.9,43.51,Supermarket,Plzeňská,JACOBS PORCE CAF.LATTÉ 250G
172551,4,1,2018-07-06,2,90.5,81.84,Hypermarket,Londýnská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
170936,7,2,2018-07-06,5,39.0,30.06,Supermarket,Pražská,ŠPENÁTOVÝ PROTLAK 400G
172551,6,1,2018-07-06,19,90.5,81.84,Hypermarket,Vídeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
176139,8,2,2018-07-06,17,197.0,142.0,Supermarket,Plzeňská,"HRANOLKY B"" 1KG"""
